# created: Sat Jun 30 03:00:01 2018
# <aid>|<type>|<language>|<title>
# type: 1=primary title (one per anime), 2=synonyms (multiple per anime), 3=shorttitles (multiple per anime), 4=official title (one per language)
11395|4|ja|3月のライオン meets BUMP OF CHICKEN
11606|2|zh-Hans|3月的狮子
11217|1|x-jat|4 Eyes
7243|2|en|4-1/2 Tatami Mythological Chronicles
2758|1|x-jat|4-Day Weekend
11217|2|ja|4・Eyes
7243|2|en|4.5 Tatami Mythological Chronicles
11217|2|x-jat|4.eyes
12585|1|x-jat|44-hiki no Neko
12585|4|ja|44ひきのねこ
10411|1|x-jat|47 Todoufuken R
10411|4|ja|47都道府犬R
8251|1|x-jat|48x61
8251|4|ja|48x61 四拾八x六拾壱
11217|4|ja|4EYES
2758|4|ja|4デイ・ウィークエンド
652|2|x-jat|5 Card
4568|2|vi|5 centimét một giây
4568|2|sv|5 centimeter i sekunden
4568|4|nl|5 centimeter per seconde
4568|4|en|5 Centimeters per Second
4568|4|de|5 Centimeters per second
4568|2|lt|5 centimetrai per sekundę
4568|4|fr|5 Centimètres par seconde
4568|2|it|5 centimetri al secondo
4568|2|ro|5 centimetri pe secundă
4568|4|es|5 Centímetros por Segundo
4568|4|cs|5 Centimetru za Sekundu
4568|4|pl|5 centymetrów na sekundę
4568|2|it|5 cm al secondo
4568|2|vi|5 Cm Một Giây
4568|2|pl|5 cm na sekundę
4568|4|it|5 cm per second
4568|2|en|5 cm per second
4568|4|et|5 sentimeetrit sekundis
730|2|x-jat|5 star stories
4568|2|de|5 Zentimeter pro Sekunde
4568|2|el|5 εκατοστά το δευτερόλεπτο
4568|2|bg|5 сантиметра в секунда
4568|2|uk|5 сантиметрів за секунду
4568|2|uk|5 сантиметрів на секунду
4568|4|ru|5 сантиметров в секунду
4568|2|he|5 ס"מ בשנייה
4568|2|ar|5 سنتيمترات في الثانية
4241|3|x-jat|5-2
4241|2|uk|5-2 сьогодні
6054|3|x-jat|5-2tv
4184|1|x-jat|5-tou ni Naritai.
1153|3|x-jat|5555
4568|3|x-jat|5cm
4568|3|en|5cm per Second
4568|3|en|5cm/s
7248|3|en|5leaves
4184|4|ja|5等になりたい.
2773|1|x-jat|6 Angels
12684|1|x-jat|6 Heart Princess
13305|4|ja|6 LOVERS
13305|1|x-jat|6 Lovers
2773|2|tr|6 Melek
8210|2|ru|6-я Зона
12684|4|ja|6♥Princess
9109|4|en|663114
9109|1|x-jat|663114
6096|1|x-jat|69 Pink Riders
6097|1|x-jat|69 Pink Riders 2
6096|4|ko|69 핑크 라이더스
6097|4|ko|69 핑크 라이더스 2
6096|4|ja|69ピンクライダース
6097|4|ja|69ピンクライダーズ 2
12682|4|ja|6HP
12682|1|x-jat|6HP
12684|2|en|6HP (Six Hearts Princess) Pink or Black
12473|4|ja|6つ子とおうまの物語
853|4|fr|7 of 7
853|2|en|7 of Seven
1542|4|hu|7 szamuráj
231|2|vi|7 viên ngọc rồng
1542|4|ru|7 самураев
1542|4|ar|7 ساموراي
1542|4|th|7 เซียนซามูไร
9593|1|x-kot|77 Danui Bimil
9593|2|en|77 Group`s Secret
9593|4|ko|77단의 비밀
12673|3|en|7O3X
12673|2|en|7O3X Fastest Finger First
12673|2|ko|7O3X-0.01초의 싸움
853|3|en|7o7
1352|1|x-jat|8 Man
1353|1|x-jat|8 Man After
1353|4|en|8 Man After
6621|2|x-jat|8-gatsu no Symphony: Shibuya 2002-2003
2706|2|en|80 Days Around the World With Willy Fog
2706|4|hu|80 nap alatt a Föld körül Willy Foggal
198|4|en|801 T.T.S. Airbats
2706|2|ja|80日間世界一周
10250|1|x-kot|84 Taekwon V
362|3|x-jat|8kenden
1352|3|x-jat|8man
217|3|en|8th Team
6621|4|ja|8月のシンフォニー -渋谷 2002~2003
3354|2|en|9 Love Stories
299|2|en|9 O`clock Woman
14184|1|x-tht|9 Satra
3354|2|uk|9 історій кохання
3354|2|ar|9 قصص حب
14184|4|th|9 ศาสตรา
12014|4|en|91 Days
12014|4|ja|91 Days
12014|1|x-jat|91 Days
12014|2|ru|91 день
12014|4|bg|91 дни
12014|4|ko|91 데이즈
12014|2|ja|91Days
3683|2|en|A 1001 Nights
1351|4|pt|A Abelha Maia
3368|4|pt-BR|A Abelhinha Hutch
3520|4|pt|A Aldeia dos amendoins
1043|4|gl|A ameaza da zona escura
1886|4|pt|A Batalha dos Deuses
1954|4|gl|A bela dorminte do castelo do demo
10888|2|en|A Boring World Where the Concept of Dirty Jokes Doesn`t Exist
2107|2|hu|A Bosco léghajó kalandjai
8166|4|en|A Bridge to the Starry Skies
784|2|pt|A Canção do Cordeiro
12637|4|en|A Centaur`s Life
5975|4|en|A Certain Magical Index
7599|2|en|A Certain Magical Index 2
7599|4|en|A Certain Magical Index II
13481|2|en|A Certain Magical Index III
8694|4|en|A Certain Magical Index the Movie: The Miracle of Endymion
8694|2|en|A Certain Magical Index: The Miracle of Endymion
6460|4|en|A Certain Scientific Railgun
7975|2|en|A Certain Scientific Railgun OVA
9484|4|en|A Certain Scientific Railgun S
10453|2|en|A Certain Scientific Railgun S OVA
8107|2|x-jat|A Channel
8597|1|x-jat|A Channel +Smile
8107|1|x-jat|A Channel: The Animation
75|2|en|A cheeky angel
8056|4|en|A Child`s Metaphysics
5029|2|en|A Child`s Time
1424|4|en|A Chinese Ghost Story
1424|2|en|A Chinese Ghost Story: The Tsui Hark Animation
6982|2|en|A Christmas Carol
3677|4|pt|A Cinderela
13366|2|en|A Clerk in Charge
8141|4|pt|A Colina das Papoilas
5609|2|en|A Connectiv System
11104|2|en|A Corpse Is Buried Under Sakurako`s Feet
2630|4|hu|A csodálatos Triton
8229|4|en|A Dark Rabbit has Seven Lives
12874|2|en|A Day After a Hundred Years
5379|2|en|A day of Chameko
8120|2|en|A Deer of Nine Colors
4763|4|hu|A dinoszauruszok király
4763|2|hu|A dinoszauruszok királya
4339|2|en|A Direction of the Day After Tomorrow
1650|4|en|A Dog of Flanders
1651|2|en|A Dog of Flanders: My Friend Patrasche
1651|4|en|A Dog of Flanders: My Patrasche
11304|2|en|A Donkey Got a Bit Sulky
9201|2|en|A Drifting Life
1428|4|hu|A dzsungel könyve
1525|4|pt-BR|A espada de Kamui
12054|4|pt|A Espada do Rei - Final Fantasy XV
896|2|pt-BR|A Eternidade Desejada por Você
896|2|pt-BR|A Eternidade que Você Deseja
2302|4|gl|A Familia Robinson
2302|4|pt|A Família Robinson
2293|4|pt|A Família Trapp
370|4|pt|A Família Yamada
3189|4|hu|A fehér farkas
1919|2|pt-BR|A Flor das Sete Cores
2043|2|pt-BR|A Flor das Sete Cores: O Filme
4935|2|pt|A Floresta do Piano
4935|2|pt|A Floresta do Piano: O Mundo Perfeito de Kai
3966|2|en|A Flying City Plan
2001|4|en|A Forbidden Time
3489|2|en|A Full Throttle
4151|2|pt-BR|A Garota que Salta Através do Tempo
7044|2|en|A Girl at Dojo Temple
1090|2|en|A Girl in a Lower Grade
9765|4|en|A Good Librarian Like a Good Shepherd
1886|4|pt-BR|A Grande Batalha dos Deuses
10121|2|en|A Grandma`s Goldfish
679|2|pt-BR|A Gratidão do Gato
3075|2|en|A Great Super Shot Boy
671|4|en|A Heat for All Seasons
5308|2|en|A Hundred Percents
5308|1|x-jat|A Hundred Percents
2038|4|pt|A Ilha do Tesouro
10188|2|en|A Jewish Girl in Shanghai
5479|4|en|A Journey Through Fairyland
787|4|hu|A Káprázat Lángjai
6108|4|hu|A kaptár: Bioterror
8079|4|hu|A kaptár: Kárhozat
5492|2|en|A Karate-Crazy Life
2560|4|hu|A kék madár
1267|4|hu|A kis egyszarvú
2220|4|hu|A kis hableány
3497|2|hu|A kis hableány (1991)
7541|2|en|A Kiss for the Petals
314|1|x-jat|A Kite
314|4|ja|A KITE
314|2|en|A Kite
7305|2|en|A Komaneko Christmas: The Lost Present
336|4|hu|A könyvek hercege
3081|4|hu|A könyvek könyve
3082|4|hu|A könyvek könyve II
10372|2|fr|À la recherche du futur perdu
852|4|pt|A Ladra Meimi
1862|4|hu|A legyőzhetetlen robot
2921|4|pt|A Lei do Ueki
3674|4|pt|A Lenda da Branca de Neve
1884|4|pt|A Lenda da Maçã de Ouro
1861|2|pt-BR|A Lenda da Serpente Branca
1424|4|pt|A Lenda de Ning
1141|4|gl|A lenda de Sheron o dragón
2863|4|pt|A Lenda de Zorro
551|4|pt-BR|A Lenda do Demônio
7621|2|pt-BR|A Lenda do Dragão Milenar
7117|4|pt|A Lenda do Trovão
2863|4|pt-BR|A Lenda do Zorro
1887|4|pt-BR|A Lenda dos Defensores de Atena: O Filme
8270|4|en|A Letter to Momo
11820|2|en|A Linchpin
6959|2|en|A Literary Girl
2298|4|en|A Little Princess Sara
9|4|en|A Little Snow Fairy Sugar
7300|4|en|A Little Snow Fairy Sugar Special
6357|2|en|A Lot of Pine Wood
9387|4|en|A Lull in the Sea
2654|4|pt|A Maravilhosa Viagem de Nils Holgersson Através da Suécia
3651|2|pt-BR|A Melancolia de Haruhi Suzumiya
6367|2|pt-BR|A Melancolia de Haruhi Suzumiya (2009)
3651|2|pt-BR|A Melancolia de Suzumiya Haruhi
6367|2|pt-BR|A Melancolia de Suzumiya Haruhi (2009)
5335|2|pt-BR|A Melancolia de Suzumiya Haruhi-chan
4151|2|pt-BR|A Menina que Corre Através do Tempo
1836|4|pt|A Minha Amiga Licia
2539|4|pt|A Navegante da Lua R
2538|4|pt|A Navegante da Lua S
2542|4|pt|A Navegante da Lua Sailor Stars
2540|4|pt|A Navegante da Lua SuperS
2465|4|pt-BR|A Noite do Sexo
4261|2|hu|A pálya ördögei
